local_citation,last_author,local_citation_up,last_author_publication_year,publication_year,global_reference,global_citation,name,Abstract,local_reference,Strength,Reaction Type,X,Y,ID,Journal,Reaction,Journal_Title,Authors,Title
16,"Nakamura, E.",32,"Nakamura, E. 2009",2009,65,255,10.1021/ja903091g,"We report here that hydroxyphosphine ligands (PO ligands) significantly accelerate nickel-catalyzed cross-coupling reactions of unreactive aryl electrophiles and Grignard reagents. The new catalytic system based on the nickel?PO?Grignard combination allows facile activation of unreactive aryl halides such as fluorides, chlorides, polyfluorides, and polychlorides as well as phenol derivatives such as carbamates and phosphates to give the corresponding cross-coupling products in good to excellent yields. We ascribe the high catalytic activity to a nickel phosphine/magnesium alkoxide bimetallic species that forms from the nickel precatalyst, the PO ligand, and the Grignard reagent and undergoes activation of the aryl?X bond by a cooperative push?pull action of the nucleophilic nickel and Lewis acidic magnesium centers. This mechanistic conjecture was corroborated by kinetic isotope effect experiments and density functional theory calculations. Being distinct from the conventional three-centered mechanism for oxidative addition, the proposed mechanism for the C?X bond activation offers a new concept for the design of cross-coupling reactions as well as other homogeneous catalyses involving activation of electrophilic substrates.",14,Inert,Mg,493.39360295319136,-208.5413773,10,No Journal,No Reaction,J. Am. Chem. Soc.,"Naohiko Yoshikai, Hirokazu Matsuda, Eiichi Nakamura",Hydroxyphosphine Ligand for Nickel-Catalyzed Cross-Coupling through Nickel/Magnesium Bimetallic Cooperation
24,"Liu, L.",48,"Liu, L. 2009",2009,72,251,10.1021/ja810157e,"Ni-catalyzed selective C?O bond activation opens a door for the cross-coupling of aryl esters. The present study reports a thorough theoretical analysis of Ni-catalyzed cross-coupling between aryl esters and arylboronic acids, with an emphasis on explaining the cause for the surprising selectivity in C?O activation. The overall catalytic cycle is found to include three basic steps: oxidative addition, transmetalation, and reductive elimination. Oxidative addition of Ar?OAc to Ni(0) in the presence of PCy3 ligand proceeds through the monophosphine pathway (instead of the alternative two-phosphine pathway) with a relatively low barrier of +22.9 kcal/mol. Transmetalation proceeds via a base-assisted mechanism with a barrier of +31.2 kcal/mol. Reductive elimination is the most facile step in the whole catalytic cycle. Comparatively, oxidative addition of ArO?Ac to Ni(0) is a more facile process (barrier = +14.2 kcal/mol) than oxidative addition of Ar?OAc to Ni(0). However, the former process is associated with a fairly low reverse barrier, and its product does not transmetalate easily (barrier = +33.1 kcal/mol). By comparison, the latter process is an irreversible reaction, and its product transmetalates more readily. These results explain why only the cross-coupling products from the Ar?OAc activation (but not from the ArO?Ac activation) were observed in experiments.",8,Inert,B,538.8856603973086,-307.7088813,11,No Journal,No Reaction,J. Am. Chem. Soc.,"Zhe Li, Song-Lin Zhang, Yao Fu, Qing-Xiang Guo, Lei Liu",Mechanism of Ni-Catalyzed Selective C−O Bond Activation in Cross-Coupling of Aryl Esters
12,"Doi, T.",24,"Doi, T. 2009",2009,87,140,10.1002/ejoc.200900067,"Catalytic activities of NHC-derived nickel–pincer complexes for the Suzuki–Miyaura coupling reactions of aryl/alkenyl tosylates and mesylates are described. In the presence of a catalytic amount of nickelacycle 1a, a wide array of tosylates and mesylates reacted with several aryl- and alkenylboronic acids to afford the coupling products, generally in high yields. Fine tuning of the reaction conditions for each class of electrophiles was achieved only by choosing the appropriate reaction medium (DME for tosylates, dioxane for mesylates).",12,Weak/Medium,B,493.3843494512536,-153.7405254,12,JL2-019,N#CC1=CC=C(OS(C2=CC=C(C)C=C2)(=O)=O)C=C1.OB(O)C1=CC=CC=C1>>N#CC1=CC=C(C2=CC=CC=C2)C=C1,Eur J Org Chem,"Jun‐ichi Kuroda, Kiyofumi Inamoto, Kou Hiroya, Takayuki Doi",N‐Heterocyclic Carbene Derived Nickel–Pincer Complexes: Efficient and Applicable Catalysts for Suzuki–Miyaura Coupling Reactions of Aryl/Alkenyl Tosylates and Mesylates
18,"Stanciu, C.",36,"Stanciu, C. 2009",2009,47,96,10.1002/anie.200900329,Crucial breakthroughs in the activation of the C (aryl)-O bond of phenol derivatives were achieved almost simultaneously by two research groups (see scheme; Cy= cyclohexyl). Garg et al. coupled a range of aryl pivalates with arylboronic acids to give unsymmetrical biaryls. Shi et al. achieved this through C (aryl)-O activation of aryl carboxylates; the best results for the coupling of aryl boroxines were again obtained with aryl pivalates.,9,Inert,B,563.6801093,-178.5103866,13,No Journal,No Reaction,Angew Chem Int Ed,"Lukas J. Gooßen, Käthe Gooßen, Corneliu Stanciu",C(aryl)O Activation of Aryl Carboxylates in Nickel‐Catalyzed Biaryl Syntheses
56,"Shi, ZJ.",112,"Shi, ZJ. 2008",2008,33,330,10.1021/ja8056503,"Biaryl scaffolds were constructed via Ni-catalyzed aryl C? O activation by avoiding cleavage of the more reactive acyl C? O bond of aryl carboxylates. Now aryl esters, in general, can be successfully employed in cross-coupling reactions for the first time. The substrate scope and synthetic utility of the chemistry were demonstrated by the syntheses of more than 40 biaryls and by constructing complex organic molecules. Water was observed to play an important role in facilitating this transformation.",5,Inert,B,372.9545360212601,-328.658463,14,JL1-108,O=C(C)OC1=CC2=CC=CC=C2C=C1.B1(C2=CC=CC=C2)OB(C3=CC=CC=C3)OB(C4=CC=CC=C4)O1>>C12=CC=CC=C1C=C(C3=CC=CC=C3)C=C2,J. Am. Chem. Soc.,"Bing-Tao Guan, Yang Wang, Bi-Jie Li, Da-Gang Yu, Zhang-Jie Shi",Biaryl Construction via Ni-Catalyzed C−O Activation of Phenolic Carboxylates
24,"Shi, ZJ.",48,"Shi, ZJ. 2008",2008,72,160,10.1002/anie.200803814,"The catalyst system [NiCl2(PCy3)2] mediates the title transformation with high efficiency and allows aryl–aryl and vinyl–aryl coupling to proceed. The first example of catalytic cross-coupling using the pivalates and organozinc reagents is described (see scheme; Cy=cyclohexyl, piv=pivalate).",9,Inert,Zn,329.3226078953631,-268.1778202,15,No Journal,No Reaction,Angew Chem Int Ed,"Bi‐Jie Li, Yi‐Zhou Li, Xing‐Yu Lu, Jia Liu, Bing‐Tao Guan, Zhang‐Jie Shi",Cross‐Coupling of Aryl/Alkenyl Pivalates with Organozinc Reagents through Nickel‐Catalyzed CO Bond Activation under Mild Reaction Conditions
58,"Garg, NK.",116,"Garg, NK. 2008",2008,19,328,10.1021/ja806244b,"The first cross-coupling of acylated phenol derivatives has been achieved. In the presence of an air-stable Ni(II) complex, readily accessible aryl pivalates participate in the Suzuki?Miyaura coupling with arylboronic acids. The process is tolerant of considerable variation in each of the cross-coupling components. In addition, a one-pot acylation/cross-coupling sequence has been developed. The potential to utilize an aryl pivalate as a directing group has also been demonstrated, along with the ability to sequentially cross-couple an aryl bromide followed by an aryl pivalate, using palladium and nickel catalysis, respectively.",4,Inert,B,404.2194762706717,-178.01527,16,JL1-109,CC(C)(C)C(OC1=CC2=CC=CC=C2C=C1)=O.COC1=CC=C(B(O)O)C=C1>>COC1=CC=C(C2=CC3=CC=CC=C3C=C2)C=C1,J. Am. Chem. Soc.,"Kyle W. Quasdorf, Xia Tian, Neil K. Garg",Cross-Coupling Reactions of Aryl Pivalates with Boronic Acids
33,"Monteiro, AL.",66,"Monteiro, AL. 2001",2001,16,282,10.1021/ol016526l,"NiCl2 (PCy3) 2 associated with PCy3 promotes the selective cross-coupling of aryltosylates with arylboronic acids under relatively mild reaction conditions, and a variety of functional groups are tolerated in both arenes. This is one of the simplest and most efficient experimental procedures for the coupling of arylboronic acids with aryl tosylates reported to date.",2,Weak/Medium,B,77.80795476768604,-1.870111729,17,JL2-054,CC1=CC=C(S(OC2=CC3=CC=CC=C3C=C2)(=O)=O)C=C1.OB(O)C1=CC=CC=C1>>C12=CC=CC=C1C=C(C3=CC=CC=C3)C=C2,Org. Lett.,"Danilo Zim, Vanusa R. Lando, Jairton Dupont, Adriano L. Monteiro",NiCl<sub>2</sub>(PCy<sub>3</sub>)<sub>2</sub>:  A Simple and Efficient Catalyst Precursor for the Suzuki Cross-Coupling of Aryl Tosylates and Arylboronic Acids
24,"Weichold, O.",48,"Weichold, O. 2004",2004,55,221,10.1021/jo049940i,"An investigation of the NiCl2(dppe)-, NiCl2(dppb)-, NiCl2(dppf)-, NiCl2(PCy3)2-, and NiCl2(PPh3)2-catalyzed cross-coupling of the previously unreported aryl mesylates, and of aryl arenesulfonates, chlorides, bromides, and iodides containing electron-withdrawing and electron-donating substituents with aryl boronic acids, in the absence of a reducing agent, is reported. NiCl2(dppe) was the only catalyst that exhibited high and solvent-independent activity in the two solvents investigated, toluene and dioxane. NiCl2(dppe) with an excess of dppe, NiCl2(dppe)/dppe, was reactive in the cross-coupling of electron-poor aryl mesylates, tosylates, chlorides, bromides, and iodides. This catalyst was also efficient in the cross-coupling of aryl bromides and iodides containing electron-donating substituents. Most surprisingly, the replacement of the excess dppe from NiCl2(dppe)/dppe with excess PPh3 generated NiCl2(dppe)/PPh3, which was found to be reactive for the cross-coupling of both electron-rich and electron-poor aryl mesylates and chlorides. Therefore, the solvent-independent reactivity of NiCl2(dppe) provides an inexpensive and general nickel catalyst for the cross-coupling of aryl mesylates, tosylates, chlorides, bromides, and iodides with aryl boronic acids.",1,Inert,B,151.33430420665502,-18.85156478,18,JL2-032,O=C(C1=CC=C(OS(C)(=O)=O)C=C1)OC.OB(O)C1=CC=CC=C1>>O=C(C1=CC=C(C2=CC=CC=C2)C=C1)OC,J. Org. Chem.,"Virgil Percec, Geoffrey M. Golding, Jan Smidrkal, Oliver Weichold","NiCl<sub>2</sub>(dppe)-Catalyzed Cross-Coupling of Aryl Mesylates, Arenesulfonates, and Halides with Arylboronic Acids"
16,"Itami, K.",32,"Itami, K. 2012",2012,89,309,10.1021/ja210249h,"The first nickel-catalyzed C–H bond arylation of azoles with phenol derivatives is described. The new Ni (cod) 2/dcype catalytic system is active for the coupling of various phenol derivatives such as esters, carbamates, carbonates, sulfamates, triflates, tosylates, and mesylates. With this C–H/C–O biaryl coupling, we synthesized a series of privileged 2-arylazoles, including biologically active alkaloids. Moreover, we demonstrated the utility of the present reaction for functionalizing estrone and quinine.",14,Inert,H,833.4642334,-334.8176155,19,JL1-096,O=C(C(C)(C)C)OC1=CC2=CC=CC=C2C=C1.[H]C1=NC2=CC=CC=C2O1>>C12=CC=CC=C1C=C(C3=NC4=CC=CC=C4O3)C=C2,J. Am. Chem. Soc.,"Kei Muto, Junichiro Yamaguchi, Kenichiro Itami",Nickel-Catalyzed C–H/C–O Coupling of Azoles with Phenol Derivatives
32,"Hill, DH.",64,"Hill, DH. 1995",1995,50,282,10.1021/jo00109a044,"The Ni(0)-catalyzed Suzuki-type cross-coupling reaction of various aryl sulfonates including mesylate
with arylboronic acids in the presence of K3PO4 is reported. The Ni(0) catalyst is generated in situ
from NiClaCdppf) and Zn. This novel reaction, which yields unsymmetrical biaryls in good yields
under mild conditions, is highly regiospecific and tolerates various functional groups. The influence
of the effects of the substituent of the aromatic substrates, the nature of the leaving group, solvent,
and type of catalyst, and base on the reaction yield are discussed. The reactivity of various Ni(0)
catalysts was compared to that of the less reactive Pd(0) catalysts.",0,Weak/Medium,B,-44.21479657,-70.00056929,20,JL2-027,O=C(C1=CC=C(OS(=O)(C(F)(F)F)=O)C=C1)OC.OB(O)C1=CC=CC=C1>>O=C(C1=CC=C(C2=CC=CC=C2)C=C1)OC,J. Org. Chem.,"Virgil Percec, Jin-Young Bae, Dale H. Hill",Aryl Mesylates in Metal Catalyzed Homocoupling and Cross-Coupling Reactions. 2. Suzuki-Type Nickel-Catalyzed Cross-Coupling of Aryl Arenesulfonates and Aryl Mesylates with Arylboronic Acids
59,"Chatani, N.",118,"Chatani, N. 2008",2008,41,354,10.1002/anie.200801447,"(Chemical Equation Presented) To C-OMe and go: The title reaction, involving cleavage of a C-OMe bond, is demonstrated for the coupling of aryl methyl ethers on fused aromatic systems, such as naphthalene and phenanthrene, as well as anisoles containing electron-withdrawing groups with a wide range of boronic esters. cod=cycloocta-1,5-diene, Cy=cyclohexyl.",4,Inert,B,405.54365735324296,-248.0396653,21,JL1-027,COC1=CC2=CC=CC=C2C=C1.OB(C1=CC=CC=C1)O>>C12=CC=CC=C1C=C(C3=CC=CC=C3)C=C2,Angew Chem Int Ed,"Mamoru Tobisu, Toshiaki Shimasaki, Naoto Chatani",Nickel‐Catalyzed Cross‐Coupling of Aryl Methyl Ethers with Aryl Boronic Esters
28,"Garg, NK.",56,"Garg, NK. 2011",2011,120,265,10.1021/ja200398c,"The first Suzuki?Miyaura cross-coupling reactions of the synthetically versatile aryl O-carbamate and O-sulfamate groups are described. The transformations utilize the inexpensive, bench-stable catalyst NiCl2(PCy3)2 to furnish biaryls in good to excellent yields. A broad scope for this methodology has been demonstrated. Substrates with electron-donating and electron-withdrawing groups are tolerated, in addition to those that possess ortho substituents. Furthermore, heteroaryl substrates may be employed as coupling partners. A computational study providing the full catalytic cycles for these cross-coupling reactions is described. The oxidative addition with carbamates or sulfamates occurs via a five-centered transition state, resulting in the exclusive cleavage of the aryl C?O bond. Water is found to stabilize the Ni-carbamate catalyst resting state, which thus provides rationalization of the relative decreased rate of coupling of carbamates. Several synthetic applications are presented to showcase the utility of the methodology in the synthesis of polysubstituted aromatic compounds of natural product and bioactive molecule interest.",16,Inert,B,756.8301589175228,-263.0222846,22,JL1-093,O=C(N(CC)CC)OC1=CC=CC2=C1C=CC=C2.COC1=CC=C(C=C1)B2OB(C3=CC=C(OC)C=C3)OB(C4=CC=C(OC)C=C4)O2>>COC(C=C1)=CC=C1C2=CC=CC3=C2C=CC=C3,J. Am. Chem. Soc.,"Kyle W. Quasdorf, Aurora Antoft-Finch, Peng Liu, Amanda L. Silberstein, Anna Komaromi, Tom Blackburn, Stephen D. Ramgren, K. N. Houk, Victor Snieckus, Neil K. Garg",Suzuki−Miyaura Cross-Coupling of Aryl Carbamates and Sulfamates: Experimental and Computational Studies
13,"Watson, MP.",26,"Watson, MP. 2013",2013,44,216,10.1021/ja312087x,"We have developed a stereospecific nickel-catalyzed cross-coupling of benzylic pivalates with arylboroxines. The success of this reaction relies on the use of Ni(cod)2 as the catalyst and NaOMe as a uniquely effective base. This reaction has broad scope with respect to the arylboroxine and benzylic pivalate, enabling the synthesis of a variety of diarylalkanes and triarylmethanes in good to excellent yields and ee’s.",9,Inert,B,902.5616964682488,-364.5439989,23,JL1-143,CC(OC(C(C)(C)C)=O)C1=CC2=CC=CC=C2C=C1.OB(O)C1=CC=CC=C1>>C[C@@H](C1=CC=CC=C1)C2=CC3=CC=CC=C3C=C2,J. Am. Chem. Soc.,"Qi Zhou, Harathi D. Srinivas, Srimoyee Dasgupta, Mary P. Watson",Nickel-Catalyzed Cross-Couplings of Benzylic Pivalates with Arylboroxines: Stereospecific Formation of Diarylalkanes and Triarylmethanes
12,"Mizojiri, R.",24,"Mizojiri, R. 1996",1996,28,88,10.1016/0040-4039(96)01984-3,"In the presence of NiCl2 (PPh3) 2 as catalyst, p-methoxycarbonylphenyl mesylate (5) and tosylate (6) react with lithium arylborates 4 (Ar= 2-furyl, Ph, p-Me-Ph; p-Me-Ph) at room temperature to afford the coupling products in high yields. Similarly, mesylates 9–11 coupled with these borates 4 efficiently.",2,Weak/Medium,B,20.945078157869325,-52.79115415,24,No Journal,No Reaction,Tetrahedron Letters,"Yuichi Kobayashi, Ryo Mizojiri",Nickel-catalyzed coupling reaction of lithium organoborates and aryl mesylates possessing an electron withdrawing group
12,"Wang, ZX.",24,"Wang, ZX. 2011",2011,34,88,10.1002/chem.201003731,"The formation of a C-C bond has been achieved through the cleavage of the sp 2 C-O bond of aryl/alkenyl ethers catalyzed by a nickel complex, and by using Grignard reagents as nucleophiles (see scheme). This method displays a broad substrate scope and leads to good to excellent yields of the aryl–aryl or alkenyl–aryl cross‐coupling products.",13,Inert,Mg,756.7400842311313,-311.1352379,25,JL2-011,COC1=CC=CC2=CC=CC=C21.CC1=CC=C([Mg]Br)C=C1>>CC1=CC=C(C2=CC=CC3=CC=CC=C32)C=C1,Chemistry A European J,"Lan‐Gui Xie, Zhong‐Xia Wang",Cross‐Coupling of Aryl/Alkenyl Ethers with Aryl Grignard Reagents through Nickel‐Catalyzed CO Activation
16,"Kappe, CO.",32,"Kappe, CO. 2011",2011,42,117,10.1021/jo1024464,High-speed and scalable nickel-catalyzed cross-coupling of arylboronic acids with aryl carbamates and sulfamates is achieved by using sealed-vessel microwave processing.,19,Inert,B,756.2791272739164,-213.1617519,26,JL2-034,O=C(OC1=CC2=CC=CC=C2C=C1)N(CC)CC.OB(O)C1=CC=CC=C1>>C12=CC=CC=C1C=C(C3=CC=CC=C3)C=C2,J. Org. Chem.,"Mostafa Baghbanzadeh, Christian Pilger, C. Oliver Kappe",Rapid Nickel-Catalyzed Suzuki−Miyaura Cross-Couplings of Aryl Carbamates and Sulfamates Utilizing Microwave Heating
20,"Jarvo, ER.",40,"Jarvo, ER. 2011",2011,50,175,10.1021/ja108547u,Secondary benzylic ethers undergo stereospecific substitution reactions with Grignard reagents in the presence of nickel catalysts. Reactions proceed with inversion of configuration and high stereochemical fidelity. This reaction allows for facile enantioselective synthesis of biologically active diarylethanes from readily available optically enriched carbinols.,2,Inert,Mg,756.1836629222869,-365.499181,27,JL1-092,CC[C@@H](OC)C1=CC2=CC=CC=C2C=C1.C[Mg]I>>CC[C@H](C)C1=CC2=CC=CC=C2C=C1,J. Am. Chem. Soc.,"Buck L. H. Taylor, Elizabeth C. Swift, Joshua D. Waetzig, Elizabeth R. Jarvo",Stereospecific Nickel-Catalyzed Cross-Coupling Reactions of Alkyl Ethers: Enantioselective Synthesis of Diarylethanes
42,"Swindell, CS.",84,"Swindell, CS. 1979",1979,8,349,10.1021/ja00502a074,No Abstarct,1,Inert,Mg,-160.4138356,-254.2155706,28,No Journal,No Reaction,J. Am. Chem. Soc.,"Ernest Wenkert, Enrique L. Michelotti, Charles S. Swindell",Nickel-induced conversion of carbon-oxygen into carbon-carbon bonds. One-step transformations of enol ethers into olefins and aryl ethers into biaryls
13,"Shi, ZJ.",26,"Shi, ZJ. 2011",2011,63,135,10.1002/anie.201101461,No Abstarct,21,Inert,B,754.0131770898952,-163.5069299,29,JL1-032,OC1=CC2=CC=CC=C2C=C1.CCCCC1=CC=C(B2OB(C3=CC=C(CCCC)C=C3)OB(C4=CC=C(CCCC)C=C4)O2)C=C1>>CCCCC1=CC=C(C2=CC3=CC=CC=C3C=C2)C=C1,Angew Chem Int Ed,"Da‐Gang Yu, Zhang‐Jie Shi",Mutual Activation: Suzuki–Miyaura Coupling through Direct Cleavage of the sp<sup>2</sup> CO Bond of Naphtholate
13,"Beaumard, F.",26,"Beaumard, F. 2010",2010,31,106,10.1021/ol101592r,A general method based on nickel-catalyzed C? O activation of various phenol derivatives with potassium (hetero) aryltrifluoroborates has been developed. A large number of heterobiaryls can be easily obtained with yields up to 99% using methanesulfonate cross-coupling partners.,15,Weak/Medium,B,675.6020002077807,-195.6053534,30,JL2-056,CS(OC1=CC=CC2=CC=CC=C21)(=O)=O.F[B-](F)(F)C1=COC=C1.[K+]>>C12=CC=CC=C1C(C3=COC=C3)=CC=C2,Org. Lett.,"Gary A. Molander, Floriane Beaumard",Nickel-Catalyzed C−O Activation of Phenol Derivatives with Potassium Heteroaryltrifluoroborates
23,"Shi, ZJ.",46,"Shi, ZJ. 2010",2010,50,140,10.1021/ol9029534,Suzuki?Miyaura coupling of unactivated alkenyl carbamates is described to construct polysubstituted olefins. The developed process is also suitable for heteroaromatic and even electron-rich aromatic carbamates.,13,Inert,B,676.144073,-239.8225378,31,JL2-081,O=C(OC1=CC2=CC=CC=C2CC1)N(C)C.B1(C2=CC=CC=C2)OB(C3=CC=CC=C3)OB(C4=CC=CC=C4)O1>>C12=CC=CC=C1C=C(C3=CC=CC=C3)CC2,Org. Lett.,"Li Xu, Bi-Jie Li, Zhen-Hua Wu, Xing-Yu Lu, Bing-Tao Guan, Bi-Qin Wang, Ke-Qing Zhao, Zhang-Jie Shi",Nickel-Catalyzed Efficient and Practical Suzuki−Miyaura Coupling of Alkenyl and Aryl Carbamates with Aryl Boroxines
